file,url_path,title,has_description,has_canonical,has_og_title,has_og_desc,has_og_url,has_og_type,has_og_image,has_twitter_card,h1_count,noindex
401.html,/401,Protected Page | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
404.html,/404,Page Not Found | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
about-us.html,/about-us,Expert Crypto Recovery Services for Lost or Stolen Assets,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
article-4.html,/article-4,Blog article 4,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
article-5.html,/article-5,Fake Crypto Exchanges – How They Scam You & How to Avoid Them,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
blog.html,/blog,Crypto Recovery Tips and Strategies in CountWize Blogs,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
contact-us.html,/contact-us,Contact CountWize – Reach Out for Expert Crypto Assistance,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
contact.html,/contact (301→contact-us),Contact CountWize – Reach Out for Expert Crypto Assistance,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
cookie-policy.html,/cookie-policy,Cookie Policy | CountWize,YES,YES,YES,YES,YES,YES,YES,YES,2,NO
crypto-education.html,/crypto-education (301→education),Learn Crypto Recovery & Blockchain Insights,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
crypto-insights.html,/crypto-insights,Stay Updated with Crypto Recovery News at CountWize,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
crypto-recovery-guide.html,/crypto-recovery-guide,How to Recover Stolen or Lost Cryptocurrency – Step-by-Step Guide,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
crypto-tax.html,/crypto-tax (301→recovery),Crypto Tax Consulting | CountWize – Navigate Crypto Taxation with Ease,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
detail_blogcategory.html,/detail_blogcategory,Blog Category | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
detail_education-videos.html,/detail_education-videos,Education Video | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,1,NO
detail_member.html,/detail_member,Team Member | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
detail_post.html,/detail_post,Blog Post | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
detail_project.html,/detail_project,Case Study | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
detail_service.html,/detail_service,Service Details | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,0,NO
education.html,/education,Learn Crypto Recovery & Blockchain Insights,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
faq-crypto-recovery.html,/faq-crypto-recovery (301→faq),Crypto Recovery FAQ | Get Answers from CountWize,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
faq.html,/faq,Crypto Recovery FAQ | Get Answers from CountWize,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
forex-scams.html,/forex-scams,Scammed – How to Recover Your Crypto Assets and Coins,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
how-do-you-check-if-a-website-is-legitimate.html,/how-do-you-check-if-a-website-is-legitimate,Due Diligence & Best Practices for Crypto Investments,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
how-does-a-crypto-recovery-phrase-work.html,/how-does-a-crypto-recovery-phrase-work,The 5 latest crypto scams and how to avoid them,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
how-to-avoid-losing-your-crypto-real-mistakes-real-fixes-and-smart-protection-tips.html,/how-to-avoid-losing-your-crypto,How to Avoid Losing Your Crypto: Real Mistakes Real Fixes and Smart Protection Tips,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
index.html,/,Crypto Recovery Services – Expert Help to Retrieve Lost Assets,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
legal.html,/legal,Legal Information | CountWize – Terms Privacy and Compliance,YES,YES,YES,YES,YES,YES,YES,YES,13,NO
news.html,/news,Stay Updated with Crypto Recovery News at CountWize,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
privacy-policy.html,/privacy-policy,Privacy Policy | CountWize,YES,YES,YES,YES,YES,YES,YES,YES,2,NO
recovery-questionnaire.html,/recovery-questionnaire,Crypto Recovery Questionnaire | CountWize,YES,YES,YES,YES,YES,YES,NO,YES,1,NO
recovery.html,/recovery,Crypto Recovery Services – Expert Help to Retrieve Lost Assets,YES,YES,YES,YES,YES,YES,YES,YES,1,NO
team.html,/team,Meet the CountWize Team – Experts in Crypto Recovery,YES,YES,YES,YES,YES,YES,YES,YES,0,NO
